,Node1,Node2
774,THADA,NSUN2
775,THADA,LGR5
776,THADA,CDKAL1
777,THADA,CDC123
778,THADA,HHEX
779,THADA,JAZF1
780,THADA,RFX5
781,THADA,CCDC82
782,THADA,METTL1
783,THADA,SH2B1
784,THADA,FTSJ1
785,THADA,ADAT3
786,THADA,KCNJ11
787,THADA,SDAD1
788,THADA,TCF7L2
789,THADA,ADAM30
790,THADA,PDCD11
791,THADA,DENND1A
792,THADA,TOX3
793,THADA,IKBKAP
794,THADA,C9orf3
795,THADA,SRXN1
796,THADA,UBA2
797,THADA,IGF2BP2
798,THADA,TRMT61A
799,THADA,TSPAN8
800,THADA,ARAP1
801,THADA,SUOX
802,THADA,SIN3A
803,THADA,WDR6
804,THADA,SULT1A1
805,THADA,STAM
806,THADA,WDR4
807,THADA,THADA
808,THADA,TES
809,THADA,SEC24A
810,THADA,SLC30A8
811,THADA,ADAMTS9
812,THADA,FTO
813,THADA,WDR36
814,THADA,POLR1B
815,THADA,CAMK1D
816,ARAP1,PLEK
817,ARAP1,RHOV
818,ARAP1,RHOQ
819,ARAP1,RAC2
820,ARAP1,ARF5
821,ARAP1,RAP1B
822,ARAP1,ZBED3
823,ARAP1,KCNQ1
824,ARAP1,MTNR1B
825,ARAP1,KDELR2
826,ARAP1,CLTA
827,ARAP1,ZFAND6
828,ARAP1,RHOF
829,ARAP1,RHOB
830,ARAP1,CDKAL1
831,ARAP1,CDC123
832,ARAP1,RHOC
833,ARAP1,RAC3
834,ARAP1,RHOD
835,ARAP1,CLTB
836,ARAP1,RHOJ
837,ARAP1,AGTRAP
838,ARAP1,RHOT2
839,ARAP1,KDELR1
840,ARAP1,RHOBTB1
841,ARAP1,RHOG
842,ARAP1,C2CD4A
843,ARAP1,RAC1
844,ARAP1,RHOT1
845,ARAP1,RHOU
846,ARAP1,COPA
847,ARAP1,TCF7L2
848,ARAP1,RAP1A
849,ARAP1,C2CD4B
850,ARAP1,RHOH
851,ARAP1,IGF2BP2
852,ARAP1,ARAP1
853,ARAP1,TNFRSF10A
854,ARAP1,STARD10
855,ARAP1,RAB13
856,ARAP1,SH3KBP1
857,ARAP1,CDC42
858,ARAP1,THADA
859,ARAP1,KDELR3
860,ARAP1,RHOA
861,ARAP1,HRAS
862,ARAP1,SLC30A8
863,ARAP1,RHOBTB2
864,ARAP1,ARF1
865,ARAP1,PTK6
866,ARAP1,KLF14
867,WFS1,FSTL3
868,WFS1,TMEM132A
869,WFS1,LAMB1
870,WFS1,WFS1
871,WFS1,EVA1A
872,WFS1,IGFBP5
873,WFS1,BMP4
874,WFS1,VGF
875,WFS1,APOE
876,WFS1,LAMC1
877,WFS1,APLP2
878,WFS1,STC2
879,WFS1,TNC
880,WFS1,MFGE8
881,WFS1,IGFBP4
882,WFS1,APP
883,WFS1,FSTL1
884,WFS1,ALB
885,WFS1,HSP90B1
886,WFS1,SCG2
887,WFS1,SDC2
888,WFS1,APOL1
889,WFS1,FAM20C
890,WFS1,PENK
891,WFS1,CSF1
892,WFS1,P4HB
893,WFS1,GAS6
894,WFS1,PNPLA2
895,WFS1,MIA3
896,WFS1,MBTPS1
897,WFS1,FN1
898,WFS1,QSOX1
899,WFS1,ATF6
900,WFS1,CKAP4
901,WFS1,CHGB
902,WFS1,IGFBP3
903,WFS1,GOLM1
904,WFS1,GPC3
905,WFS1,CST3
906,WFS1,MATN3
907,WFS1,IL6
908,WFS1,NUCB1
909,WFS1,LAMB2
910,WFS1,CYR61
911,WFS1,MXRA8
912,WFS1,SPARCL1
913,WFS1,SERPINA1
914,WFS1,MEPE
915,WFS1,VWA1
916,WFS1,PRKCSH
917,WFS1,DNAJC3
918,TSPAN8,WFS1
919,TSPAN8,KCNQ1
920,TSPAN8,NAPSA
921,TSPAN8,MS4A12
922,TSPAN8,ZBED3
923,TSPAN8,NOTCH2
924,TSPAN8,MTNR1B
925,TSPAN8,ZFAND6
926,TSPAN8,EPCAM
927,TSPAN8,ITGB4
928,TSPAN8,TSG101
929,TSPAN8,LGR5
930,TSPAN8,CDKAL1
931,TSPAN8,EGFR
932,TSPAN8,ZP1
933,TSPAN8,TLL1
934,TSPAN8,CDC123
935,TSPAN8,HHEX
936,TSPAN8,JAZF1
937,TSPAN8,PPARG
938,TSPAN8,ADAM17
939,TSPAN8,SH2B1
940,TSPAN8,FAIM2
941,TSPAN8,KCNJ11
942,TSPAN8,NEGR1
943,TSPAN8,CLDN7
944,TSPAN8,TCF7L2
945,TSPAN8,ADAM30
946,TSPAN8,PHACTR4
947,TSPAN8,POPDC3
948,TSPAN8,HSD17B8
949,TSPAN8,PTER
950,TSPAN8,IGF2BP2
951,TSPAN8,OTOA
952,TSPAN8,TSPAN8
953,TSPAN8,TM4SF1
954,TSPAN8,VSIG10
955,TSPAN8,GPA33
956,TSPAN8,IGSF8
957,TSPAN8,ITGA4
958,TSPAN8,THADA
959,TSPAN8,PTPRC
960,TSPAN8,SLC30A8
961,TSPAN8,ADAMTS9
962,TSPAN8,FTO
963,TSPAN8,IRGM
964,TSPAN8,TENM2
965,TSPAN8,CAMK1D
966,TSPAN8,HNF1B
967,TSPAN8,HDGFRP2
968,TSPAN8,MUC13
969,NOTCH2,KAT2A
970,NOTCH2,AGO2
971,NOTCH2,HES1
972,NOTCH2,DLL4
973,NOTCH2,LFNG
974,NOTCH2,JAG1
975,NOTCH2,NOTCH2
976,NOTCH2,DTX1
977,NOTCH2,ADAM10
978,NOTCH2,SNW1
979,NOTCH2,MIB1
980,NOTCH2,APH1B
981,NOTCH2,CREBBP
982,NOTCH2,EP300
983,NOTCH2,KAT2B
984,NOTCH2,FCER2
985,NOTCH2,RPS27A
986,NOTCH2,NOTCH1
987,NOTCH2,MAML1
988,NOTCH2,NCSTN
989,NOTCH2,POGLUT1
990,NOTCH2,RFNG
991,NOTCH2,ADAM17
992,NOTCH2,RAB6A
993,NOTCH2,PSEN1
994,NOTCH2,JAG2
995,NOTCH2,SEL1L
996,NOTCH2,RBPJ
997,NOTCH2,MFNG
998,NOTCH2,ATP2A1
999,NOTCH2,ATP2A3
1000,NOTCH2,DLL1
1001,NOTCH2,PSEN2
1002,NOTCH2,APH1A
1003,NOTCH2,NEURL1
1004,NOTCH2,NEURL1B
1005,NOTCH2,NOTCH4
1006,NOTCH2,POFUT1
1007,NOTCH2,HES5
1008,NOTCH2,MDK
1009,NOTCH2,CREB1
1010,NOTCH2,ACTA2
1011,NOTCH2,MAML3
1012,NOTCH2,MIB2
1013,NOTCH2,MAML2
1014,NOTCH2,ATP2A2
1015,NOTCH2,UBC
1016,NOTCH2,CNTN1
1017,NOTCH2,NUMB
1018,NOTCH2,PSENEN
1019,NOTCH2,FURIN
