,TF,Target,Mode of Regulation,References
4948,NFYA,SP3,Activation,16024108
4958,NFYB,HOXB7,Unknown,12697323
4973,NFYC,HOXB7,Unknown,12697323
4986,NKX2-1,SP1,Unknown,23995788
4989,NKX2-3,EGR1,Unknown,21968973
4996,NKX2-5,MEF2C,Repression,21261500
5000,NKX3-1,AR,Repression,16697957
5002,NKX3-1,ESR1,Unknown,18794125
5022,NPM1,DNMT1,Unknown,19887607
5035,NR0B1,NR1H4,Repression,21856289
5043,NR0B2,E2F1,Repression,18657049
5069,NR1H4,NFKB1,Activation,21364590
5072,NR1H4,RELA,Activation,21364590
5094,NR1I2,NFKB1,Repression,22248096
5099,NR1I2,RELA,Repression,22248096
5112,NR2E3,ESR1,Unknown,22174013
5123,NR2F2,E2F1,Unknown,22734039
5129,NR2F2,TFAP2A,Activation,20195529
5141,NR3C1,BRCA1,Activation,22328717
5157,NR3C1,NFKB1,Repression,17016446
5170,NR3C1,STAT1,Repression,17016446
5172,NR3C1,TP53,Repression,17016446
5188,NR4A1,E2F1,Activation,12947120
5204,NR4A3,PPARG,Repression,18855877
5272,NUPR1,EP300,Unknown,22858377
5274,NUPR1,TP53,Unknown,22858377
5296,PA2G4,AR,Unknown,20159994
5297,PA2G4,E2F1,Repression,16254079
5298,PA2G4,E2F1,Unknown,17786317
5307,PARP1,E2F1,Activation,14627987
5316,PARP1,JUN,Unknown,16026317
5317,PARP1,NFKB1,Unknown,16026317
5318,PARP1,RELA,Unknown,16026317
5334,PAX2,TP53,Repression,8521821
5335,PAX2,WT1,Unknown,9178767
5366,PAX5,RB1,Unknown,10197586
5369,PAX5,TP53,Activation,22105368
5370,PAX5,TP53,Repression,8521821
5371,PAX5,XBP1,Repression,8627152
5383,PAX8,E2F1,Activation,21602887
5388,PAX8,TP53,Repression,8521821
5390,PAX8,WT1,Activation,15961562;8861958
5423,PGR,E2F1,Activation,20123965
5426,PGR,ESR1,Activation,16982776
5434,PGR,MYC,Unknown,22892083
5437,PGR,RELA,Repression,8626413
5442,PHB2,ARNT,Repression,21256954
5461,PIAS1,STAT1,Unknown,17940994;19136629
5462,PIAS2,AR,Activation,11117529
5467,PIAS3,ESR1,Unknown,22174013
5469,PIAS3,STAT3,Unknown,16098628
5471,PIAS4,VDR,Unknown,22564762
5472,PIR,NFKB1,Unknown,14573596
5480,PITX1,JUN,Repression,21425961
5482,PITX1,NKX3-1,Repression,21425961
5484,PITX1,RUNX1,Repression,21425961
5485,PITX1,RUNX2,Repression,21425961
5524,PML,EP300,Activation,18809579
5528,PML,HIPK2,Activation,18809579
5531,PML,PML,Activation,15529177
5534,PML,TP53,Unknown,12837275
5536,POLR1A,E2F1,Repression,21878508
5550,POU1F1,VDR,Activation,17456792
5556,POU2F1,AR,Unknown,21387309
5686,PPARA,SREBF2,Repression,16946405
5748,PPARG,KLF4,Unknown,23275339
5752,PPARG,MYC,Repression,11973610
5777,PPARG,TP53,Activation,14960510;16887883
5795,PRDM1,MYC,Repression,10713181;12032779
5822,PTTG1,ID3,Activation,16926250
5825,PTTG1,MYC,Activation,22475756
5826,PTTG1,MYC,Unknown,11115508
5833,PURA,AR,Repression,18413735;19790234
5837,RAD51,SP1,Activation,18769160
5850,RARA,HNF4A,Unknown,11585914
5876,RB1,BRCA1,Repression,20068145
5884,RB1,E2F1,Repression,12460790;1534305;21602887;9326598;9400991;9671466
5885,RB1,E2F1,Unknown,11939591;8575214
5887,RB1,E2F3,Repression,20428827
5896,RB1,MYC,Repression,10200487;9671466
5897,RB1,MYC,Unknown,7680889
5899,RB1,PPARG,Unknown,20971808
5900,RB1,RB1,Repression,8264596
5903,RB1,SP1,Unknown,7702750
5910,RB1CC1,RB1,Activation,12095676
5911,RB1CC1,RB1,Unknown,14533007;20614030
5913,RBL1,BRCA1,Repression,17106239
5916,RBL1,MYC,Unknown,17132729;9797456
5918,RBL2,BRCA1,Repression,17106239;21701264
5920,RBL2,E2F4,Unknown,8575214
5922,RBMX,EGR1,Repression,16707624
5925,RBMX,JUNB,Repression,16707624
5933,RBPJ,NFKB1,Unknown,14570916
5971,RELA,AR,Repression,14715080;15517885
5972,RELA,AR,Unknown,16619263
5986,RELA,BCL3,Activation,11387332
6092,RELA,E2F1,Unknown,16725311
6096,RELA,EGR1,Repression,21983014
6098,RELA,EPAS1,Activation,20495570
6117,RELA,FOXO3,Unknown,19299143
